epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2091.73,0.65452,0.44787,1.00777,0.98606,0.86735,0.93219,0.79107,0.69266,0.50429,1.03185,0.0006833,0.0006833,0.0006833
135,2113.98,0.65348,0.45011,1.0153,0.97968,0.87075,0.93556,0.79726,0.70539,0.48673,1.03664,0.0006734,0.0006734,0.0006734
136,2137.11,0.65502,0.43997,1.01173,0.98224,0.88265,0.93406,0.79261,0.70554,0.49093,1.03922,0.0006635,0.0006635,0.0006635
137,2159.98,0.66604,0.45519,1.02365,0.97738,0.86565,0.92649,0.78782,0.71452,0.49665,1.04947,0.0006536,0.0006536,0.0006536
138,2181.91,0.65602,0.44611,1.01075,0.98344,0.86905,0.92776,0.78873,0.70769,0.51428,1.04399,0.0006437,0.0006437,0.0006437
139,2204.91,0.6491,0.44256,1.01106,0.98034,0.86395,0.93003,0.79409,0.69677,0.51592,1.03801,0.0006338,0.0006338,0.0006338
140,2226.89,0.6536,0.45493,1.018,0.98336,0.86735,0.93344,0.79826,0.6986,0.48626,1.02777,0.0006239,0.0006239,0.0006239
141,2247.92,0.64567,0.43935,1.00678,0.98256,0.87585,0.93502,0.80166,0.70263,0.48217,1.0421,0.000614,0.000614,0.000614
142,2268.25,0.65619,0.43504,1.00584,0.98077,0.86744,0.93355,0.79524,0.69754,0.49238,1.04102,0.0006041,0.0006041,0.0006041
143,2290.33,0.65243,0.43881,1.00921,0.97877,0.86244,0.93223,0.79238,0.70166,0.48196,1.04188,0.0005942,0.0005942,0.0005942
144,2309.79,0.65343,0.43505,1.01209,0.98473,0.87739,0.93268,0.79466,0.70567,0.49681,1.04187,0.0005843,0.0005843,0.0005843
145,2329,0.63411,0.42172,1.00193,0.98132,0.87245,0.93234,0.79604,0.69764,0.48816,1.04127,0.0005744,0.0005744,0.0005744
146,2350.24,0.64357,0.44446,1.00296,0.98467,0.87398,0.93239,0.79581,0.70861,0.48179,1.06021,0.0005645,0.0005645,0.0005645
147,2369.16,0.64213,0.43771,1.00089,0.97499,0.87415,0.92676,0.79289,0.70041,0.49675,1.03924,0.0005546,0.0005546,0.0005546
148,2387.89,0.63327,0.42453,1.00112,0.98582,0.87075,0.9324,0.79349,0.69868,0.48928,1.04093,0.0005447,0.0005447,0.0005447
149,2406.02,0.6477,0.43667,1.00758,0.98652,0.87138,0.93487,0.79926,0.71013,0.48,1.06801,0.0005348,0.0005348,0.0005348
150,2424.49,0.63223,0.43087,1.00361,0.98458,0.86874,0.93203,0.79191,0.70556,0.4874,1.05121,0.0005249,0.0005249,0.0005249
151,2438.62,0.64231,0.42864,1.0068,0.98429,0.87245,0.93294,0.7927,0.69923,0.4772,1.04424,0.000515,0.000515,0.000515
152,2452.83,0.63671,0.43033,1.00163,0.98068,0.86395,0.93317,0.79319,0.70322,0.48158,1.04668,0.0005051,0.0005051,0.0005051
153,2467.13,0.63227,0.42762,0.99706,0.9883,0.86203,0.93372,0.79509,0.7016,0.46897,1.05013,0.0004952,0.0004952,0.0004952
154,2481.42,0.61782,0.42302,0.98732,0.98296,0.88317,0.93816,0.80304,0.68917,0.45603,1.03678,0.0004853,0.0004853,0.0004853
155,2495.58,0.61413,0.4181,0.99571,0.9884,0.86969,0.93418,0.79755,0.68954,0.4579,1.03278,0.0004754,0.0004754,0.0004754
156,2510.44,0.63757,0.42802,0.99816,0.98984,0.86565,0.9337,0.8035,0.69102,0.4686,1.0419,0.0004655,0.0004655,0.0004655
157,2525.65,0.62922,0.41715,1.00075,0.98826,0.87075,0.93519,0.80373,0.69579,0.47352,1.05396,0.0004556,0.0004556,0.0004556
158,2548.14,0.62454,0.41874,0.9971,0.98843,0.86735,0.93442,0.7995,0.69138,0.4791,1.04515,0.0004457,0.0004457,0.0004457
159,2567.94,0.6138,0.41472,0.98916,0.98165,0.87245,0.93721,0.80168,0.68992,0.47998,1.05043,0.0004358,0.0004358,0.0004358
